1`(1, 0.5, 9.86, 28.26, (50.0, []), 0, 0)++
1`(2, 0.5, 19.98, 34.48, (50.0, []), 0, 0)++
1`(3, 0.5, 36.92, 49.69, (50.0, []), 0, 0)++
1`(4, 0.5, 13.59, 15.98, (50.0, []), 0, 0)++
1`(5, 0.5, 25.2, 24.88, (50.0, []), 0, 0)++
1`(6, 0.5, 45.24, 24.34, (50.0, []), 0, 0)++
1`(7, 0.5, 4.58, 10.74, (50.0, []), 0, 0)++
1`(8, 0.5, 8.92, 6.18, (50.0, []), 0, 0)++
1`(9, 0.5, 18.94, 15.76, (50.0, []), 0, 0)++
1`(10, 0.5, 17.93, 8.88, (50.0, []), 0, 0)++
1`(11, 0.5, 6.75, 2.49, (50.0, []), 0, 0)++
1`(12, 0.5, 11.06, 17.85, (50.0, []), 0, 0)++
1`(13, 0.5, 25.73, 27.61, (50.0, []), 0, 0)++
1`(14, 0.5, 1.76, 16.21, (50.0, []), 0, 0)++
1`(15, 0.5, 8.13, 34.06, (50.0, []), 0, 0)++
1`(16, 0.5, 0.03, 39.49, (50.0, []), 0, 0)++
1`(17, 0.5, 25.36, 24.7, (50.0, []), 0, 0)++
1`(18, 0.5, 43.45, 31.9, (50.0, []), 0, 0)++
1`(19, 0.5, 12.64, 28.14, (50.0, []), 0, 0)++
1`(20, 0.5, 18.46, 26.63, (50.0, []), 0, 0)++
1`(21, 0.5, 24.35, 22.08, (50.0, []), 0, 0)++
1`(22, 0.5, 41.06, 32.47, (50.0, []), 0, 0)++
1`(23, 0.5, 38.23, 28.46, (50.0, []), 0, 0)++
1`(24, 0.5, 47.6, 40.4, (50.0, []), 0, 0)++
1`(25, 0.5, 3.82, 24.83, (50.0, []), 0, 0)++
1`(26, 0.5, 21.06, 19.34, (50.0, []), 0, 0)++
1`(27, 0.5, 7.79, 18.64, (50.0, []), 0, 0)++
1`(28, 0.5, 11.31, 16.46, (50.0, []), 0, 0)++
1`(29, 0.5, 30.6, 3.41, (50.0, []), 0, 0)++
1`(30, 0.5, 42.02, 4.56, (50.0, []), 0, 0)++
1`(31, 0.5, 8.16, 47.55, (50.0, []), 0, 0)++
1`(32, 0.5, 37.04, 3.4, (50.0, []), 0, 0)++
1`(33, 0.5, 37.36, 26.3, (50.0, []), 0, 0)++
1`(34, 0.5, 22.84, 28.49, (50.0, []), 0, 0)++
1`(35, 0.5, 14.03, 24.66, (50.0, []), 0, 0)++
1`(36, 0.5, 35.14, 35.8, (50.0, []), 0, 0)++
1`(37, 0.5, 36.34, 26.71, (50.0, []), 0, 0)++
1`(38, 0.5, 26.54, 46.9, (50.0, []), 0, 0)++
1`(39, 0.5, 35.34, 39.88, (50.0, []), 0, 0)++
1`(40, 0.5, 18.42, 27.66, (50.0, []), 0, 0)++
1`(41, 0.5, 19.29, 30.54, (50.0, []), 0, 0)++
1`(42, 0.5, 25.67, 0.39, (50.0, []), 0, 0)++
1`(43, 0.5, 23.96, 45.21, (50.0, []), 0, 0)++
1`(44, 0.5, 23.03, 28.36, (50.0, []), 0, 0)++
1`(45, 0.5, 48.66, 31.17, (50.0, []), 0, 0)++
1`(46, 0.5, 34.76, 2.39, (50.0, []), 0, 0)++
1`(47, 0.5, 33.5, 29.96, (50.0, []), 0, 0)++
